massimale_apertura.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.179	-2.5177	-8.25806	0.40283	18.22815	21.65222
0.1795	-3.7262	-7.75452	0.40283	19.53735	21.65222
0.18	-11.58142	-6.74744	0.40283	20.24231	14.90479
0.1805	-9.26514	-11.48071	0.40283	20.64514	22.55859
0.181	-15.00549	-12.08496	0.40283	19.43665	23.26355
0.1815	-20.54443	-21.45081	0.40283	20.34302	17.82532
0.182	-20.84656	-16.71753	0.40283	21.85364	25.78125
0.1825	-34.84497	-26.08337	0.40283	18.63098	18.53027
0.183	-40.48462	-25.88196	0.40283	23.06213	21.04797
0.1835	-39.47754	-22.55859	0.40283	21.75293	11.88354
0.184	-42.19666	-24.67346	-7.5531	16.3147	9.06372
0.1845	-36.75842	-22.45789	-7.5531	21.14868	1.81274
0.185	-39.37683	-19.23523	-4.12903	19.43665	0.50354
0.1855	-31.62231	-23.46497	-13.29346	12.89062	-0.40283
0.186	-26.28479	-11.68213	-2.31628	13.69629	-6.74744
0.1865	-31.92444	-10.77576	-6.94885	15.00549	-5.63965
0.187	-30.51453	-9.46655	-7.45239	16.81824	-10.27222
0.1875	-25.57983	-7.5531	-6.3446	12.99133	-8.7616
0.188	-18.22815	2.11487	-4.83398	22.15576	-17.22107
0.1885	-14.80408	-1.2085	-2.31628	15.00549	-19.33594
0.189	-11.98425	-0.30212	-3.52478	17.42249	-23.26355
0.1895	-8.25806	2.61841	-7.95593	16.3147	-19.23523
0.19	4.93469	3.62549	-7.85522	6.84814	-26.08337
0.1905	9.36584	4.93469	-0.50354	11.2793	-26.18408
0.191	10.97717	7.35168	2.31628	13.09204	-23.26355
0.1915	14.19983	7.75452	10.17151	7.5531	-24.16992
0.192	18.53027	14.70337	5.13611	11.58142	-25.78125
0.1925	26.08337	19.73877	6.74744	10.17151	-22.25647
0.193	29.10461	15.60974	2.11487	16.21399	-20.1416
0.1935	28.80249	13.797	0	9.86938	-14.80408
0.194	29.50745	17.42249	1.10779	13.19275	-15.40833
0.1945	28.60107	16.81824	6.74744	9.26514	-11.48071
0.195	30.01099	15.50903	7.35168	14.30054	-5.94177
0.1955	30.91736	10.97717	2.11487	8.56018	-0.80566
0.196	34.34143	6.94885	3.32336	9.66797	-0.80566
0.1965	26.58691	15.71045	2.71912	7.45239	5.63965
0.197	19.83948	13.49487	1.61133	2.92053	5.33752
0.1975	17.01965	8.7616	2.41699	8.56018	9.66797
0.198	8.15735	7.5531	-1.71204	8.8623	12.28638
0.1985	3.7262	-2.11487	7.04956	9.36584	16.61682
0.199	0.80566	-2.71912	2.61841	8.35876	19.33594
0.1995	-4.83398	2.01416	-0.10071	5.23682	16.81824
0.2	-4.73328	-5.23682	1.40991	5.13611	25.27771
0.2005	-15.30762	-13.69629	-3.12195	14.90479	27.19116
0.201	-19.94019	-8.56018	-2.5177	12.18567	19.73877
0.2015	-25.98267	-13.09204	-5.53894	6.94885	15.00549
0.202	-30.51453	-20.64514	-2.81982	11.78284	25.68054
0.2025	-39.67896	-16.71753	-4.12903	11.78284	17.42249
0.203	-40.1825	-17.12036	-8.7616	11.78284	16.21399
0.2035	-36.75842	-14.50195	-1.10779	12.99133	9.86938
0.204	-37.96692	-20.34302	-2.21558	6.84814	8.05664
0.2045	-37.96692	-15.71045	-3.7262	13.09204	2.71912
0.205	-36.75842	-15.50903	-2.81982	12.28638	4.43115
0.2055	-34.94568	-20.84656	-2.11487	18.32886	-1.51062
0.206	-37.26196	-20.64514	0.10071	13.69629	-2.92053
0.2065	-40.98816	-21.24939	1.10779	18.02673	-5.33752
0.207	-36.85913	-14.09912	-6.74744	7.35168	-6.04248
0.2075	-25.98267	-13.39417	-2.31628	2.5177	-10.57434
0.208	-20.44373	-9.97009	-3.92761	10.47363	-18.22815
0.2085	-9.56726	-10.97717	-3.32336	9.06372	-19.23523
0.209	-2.21558	-4.12903	-2.31628	7.04956	-22.25647
0.2095	-1.91345	-3.62549	1.3092	6.94885	-21.65222
