massimale_chiusura.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.161	-23.8678	-15.40833	-0.10071	27.09045	-53.67737
0.1615	-16.3147	-7.25098	-1.51062	17.6239	-53.47595
0.162	-8.25806	-6.04248	-1.40991	18.53027	-50.85754
0.1625	5.13611	-11.58142	-5.94177	14.70337	-53.07312
0.163	10.37292	-4.22974	-5.13611	5.33752	-44.0094
0.1635	9.97009	4.02832	-6.3446	5.43823	-41.08887
0.164	12.99133	8.15735	-2.5177	6.2439	-34.74426
0.1645	24.37134	3.92761	0.60425	-1.91345	-27.99683
0.165	26.3855	6.54602	-0.40283	-5.74036	-28.70178
0.1655	33.13293	5.53894	4.22974	-12.68921	-15.40833
0.166	46.02356	10.17151	-5.13611	-16.01257	-7.35168
0.1665	42.19666	8.96301	-0.10071	-18.22815	-4.83398
0.167	49.44763	11.38	-0.20142	-19.53735	10.37292
0.1675	47.93701	14.19983	-0.30212	-23.16284	16.81824
0.168	47.23206	12.99133	0.70496	-25.47913	27.89612
0.1685	43.00232	11.58142	2.01416	-23.26355	23.06213
0.169	41.18958	14.80408	-3.52478	-25.07629	36.4563
0.1695	43.70728	3.8269	-0.10071	-25.37842	38.87329
0.17	32.52869	3.92761	0.10071	-23.96851	42.29736
0.1705	32.12585	3.92761	-1.91345	-18.63098	46.12427
0.171	30.31311	0.80566	-5.53894	-25.47913	47.7356
0.1715	14.19983	-3.42407	-1.10779	-25.27771	54.0802
0.172	6.14319	-4.12903	-3.12195	-10.57434	54.88586
0.1725	-3.32336	-7.95593	-3.52478	-11.07788	51.05896
0.173	-13.59558	-8.8623	-4.22974	-7.35168	39.77966
0.1735	-18.53027	-11.68213	3.52478	-12.38708	39.37683
0.174	-26.08337	-14.40125	-5.33752	-6.2439	32.83081
0.1745	-26.08337	-7.35168	-5.53894	-3.62549	27.39258
0.175	-33.43506	-15.71045	-1.40991	1.81274	22.05505
0.1755	-43.00232	-19.03381	-8.7616	12.28638	19.83948
0.176	-52.67029	-17.82532	-0.10071	12.99133	7.45239
0.1765	-55.69153	-10.77576	-1.61133	17.22107	-6.2439
0.177	-60.72693	-14.70337	-1.10779	21.3501	-9.06372
0.1775	-58.30994	-16.21399	3.92761	17.82532	-15.60974
0.178	-52.26746	-11.68213	-0.70496	18.02673	-20.54443
0.1785	-56.69861	-11.68213	0	25.57983	-28.29895
0.179	-56.69861	-17.12036	-2.31628	22.76001	-33.9386
0.1795	-43.40515	-11.98425	-6.2439	24.37134	-40.88745
0.18	-42.49878	-14.90479	-2.71912	27.6947	-49.14551
0.1805	-34.74426	-10.87646	-1.00708	20.34302	-48.64197
0.181	-35.34851	-7.75452	-8.05664	21.45081	-54.88586
0.1815	-21.65222	-2.5177	-1.40991	19.13452	-54.0802
0.182	-11.2793	-0.20142	-2.11487	13.09204	-51.86462
0.1825	-1.10779	6.14319	0.80566	15.40833	-51.66321
0.183	0.40283	-0.70496	-0.10071	12.38708	-45.01648
0.1835	10.77576	4.83398	-1.40991	9.76868	-42.39807
0.184	13.09204	3.22266	-1.91345	2.21558	-35.34851
0.1845	20.64514	0.80566	1.91345	2.81982	-28.29895
0.185	32.32727	6.04248	-1.3092	-5.13611	-28.70178
0.1855	42.09595	6.94885	-2.81982	-9.56726	-14.80408
0.186	44.81506	17.42249	4.53186	-13.19275	-7.15027
0.1865	47.43347	8.96301	0.40283	-18.93311	-0.70496
0.187	52.67029	17.82532	-4.33044	-23.36426	10.27222
0.1875	51.26038	12.28638	-0.20142	-22.25647	18.73169
0.188	50.95825	8.96301	-0.10071	-29.40674	22.55859
0.1885	44.21082	9.16443	-3.92761	-30.2124	26.48621
0.189	37.36267	15.60974	4.33044	-35.54993	35.14709
0.1895	40.78674	9.26514	3.92761	-22.76001	35.54993
0.19	39.27612	6.64673	3.12195	-28.80249	43.20374
0.1905	34.74426	8.8623	0.80566	-29.40674	44.11011
0.191	23.56567	2.21558	-6.94885	-23.36426	44.81506
0.1915	9.36584	-3.02124	-8.8623	-18.93311	51.76392
0.192	2.31628	-3.42407	-2.21558	-21.55151	48.64197
0.1925	-3.02124	-7.75452	-4.63257	-17.52319	47.23206
0.193	-15.00549	-6.54602	-2.31628	-16.81824	42.7002
0.1935	-15.30762	-9.16443	-5.0354	-10.67505	37.26196
0.194	-24.47205	-14.30054	-2.5177	-0.50354	33.53577
0.1945	-33.13293	-15.40833	-6.04248	0.20142	22.76001
0.195	-43.00232	-8.96301	-6.54602	7.35168	23.96851
0.1955	-49.54834	-17.32178	-7.45239	12.38708	17.82532
0.196	-48.64197	-15.40833	-6.3446	14.60266	11.38
0.1965	-52.36816	-19.94019	-12.18567	20.1416	1.71204
0.197	-52.46887	-19.23523	-6.3446	20.44373	-7.35168
0.1975	-55.08728	-22.05505	-5.53894	21.14868	-14.40125
0.198	-50.65613	-15.60974	-1.91345	20.74585	-22.86072
0.1985	-48.74268	-18.73169	1.40991	26.3855	-31.72302
0.199	-49.74976	-14.40125	-2.41699	22.86072	-38.77258
0.1995	-41.79382	-12.78992	-3.02124	25.78125	-37.66479
0.2	-38.57117	-11.78284	4.53186	24.16992	-43.00232
0.2005	-33.33435	-9.86938	-4.02832	20.44373	-45.01648
0.201	-26.48621	-9.97009	-2.31628	19.13452	-39.17542
0.2015	-16.3147	-4.93469	2.21558	15.81116	-45.41931
0.202	-15.30762	-0.70496	-0.70496	11.48071	-52.46887
0.2025	-8.96301	5.13611	5.43823	12.5885	-48.74268
0.203	3.22266	4.12903	2.21558	4.83398	-47.93701
0.2035	13.99841	5.74036	1.00708	4.83398	-47.93701
0.204	17.52319	11.98425	2.01416	4.83398	-47.93701
0.2045	24.16992	12.48779	2.61841	4.83398	-47.93701
0.205	30.01099	8.66089	-0.10071	4.83398	-47.93701
0.2055	41.29028	13.19275	1.3092	4.83398	-47.93701
0.206	44.81506	10.57434	-1.91345	4.83398	-47.93701
0.2065	48.33984	14.19983	1.2085	4.83398	-47.93701
0.207	49.44763	11.2793	1.3092	4.83398	-47.93701
0.2075	50.85754	12.68921	-0.20142	4.83398	-47.93701
0.208	39.88037	13.29346	-1.10779	4.83398	-47.93701
0.2085	39.17542	8.35876	-0.90637	4.83398	-47.93701
0.209	39.57825	6.14319	0.50354	4.83398	-47.93701
0.2095	37.86621	6.54602	4.43115	4.83398	-47.93701
0.21	31.72302	5.0354	0.70496	4.83398	-47.93701
0.2105	24.67346	4.22974	-0.90637	-25.98267	45.72144
